timestamp,cpu_percent,memory_rss_mb,memory_vms_mb
2025-12-03 02:22:05,0.0,16.22,401124.48
2025-12-03 02:22:06,0.0,16.22,401124.48
2025-12-03 02:22:07,0.0,16.22,401124.48
2025-12-03 02:22:08,0.0,16.22,401124.48
2025-12-03 02:22:09,0.0,16.23,401124.48
2025-12-03 02:22:10,0.0,16.23,401124.48
2025-12-03 02:22:11,0.0,16.3,401133.48
2025-12-03 02:22:12,0.0,16.3,401133.48
2025-12-03 02:22:13,0.0,12.66,401133.48
2025-12-03 02:22:14,0.0,12.66,401133.48
2025-12-03 02:22:15,0.0,12.59,401133.48
2025-12-03 02:22:16,0.0,12.61,401133.48
2025-12-03 02:22:17,0.0,12.62,401133.48
2025-12-03 02:22:18,0.0,12.66,401133.48
2025-12-03 02:22:19,0.0,12.66,401133.48
2025-12-03 02:22:20,0.0,12.66,401133.48
2025-12-03 02:22:21,0.0,12.75,401133.48
2025-12-03 02:22:22,0.0,12.75,401133.48
2025-12-03 02:22:23,0.0,12.75,401133.48
2025-12-03 02:22:24,0.0,12.81,401142.48
2025-12-03 02:22:25,0.0,12.86,401142.48
2025-12-03 02:22:26,0.0,12.86,401142.48
2025-12-03 02:22:27,0.0,12.86,401142.48
2025-12-03 02:22:28,0.0,12.86,401142.48
2025-12-03 02:22:29,0.0,12.86,401142.48
2025-12-03 02:22:30,0.0,12.94,401142.48
2025-12-03 02:22:31,0.0,12.94,401142.48
2025-12-03 02:22:32,0.0,12.94,401142.48
2025-12-03 02:22:33,0.0,12.94,401142.48
2025-12-03 02:22:34,0.0,12.94,401142.48
2025-12-03 02:22:35,0.0,12.94,401142.48
2025-12-03 02:22:36,0.0,12.94,401142.48
2025-12-03 02:22:37,0.0,12.94,401142.48
2025-12-03 02:22:38,0.0,12.94,401142.48
2025-12-03 02:22:39,0.0,12.94,401142.48
2025-12-03 02:22:40,0.0,12.88,401142.48
2025-12-03 02:22:41,0.0,12.91,401142.48
2025-12-03 02:22:42,0.0,12.89,401142.48
2025-12-03 02:22:43,0.0,12.89,401142.48
2025-12-03 02:22:44,0.0,12.89,401142.48
2025-12-03 02:22:45,0.0,8.77,401142.48
2025-12-03 02:22:46,0.0,8.86,401142.48
2025-12-03 02:22:47,0.0,8.94,401142.48
2025-12-03 02:22:48,0.0,8.89,401142.48
2025-12-03 02:22:49,0.0,8.91,401142.48
2025-12-03 02:22:50,0.0,8.92,401142.48
2025-12-03 02:22:51,0.0,8.92,401142.48
2025-12-03 02:22:52,0.0,8.92,401142.48
2025-12-03 02:22:53,0.0,8.92,401142.48
2025-12-03 02:22:54,0.0,8.92,401142.48
2025-12-03 02:22:55,0.0,8.92,401142.48
2025-12-03 02:22:56,0.0,8.92,401142.48
2025-12-03 02:22:57,0.0,8.95,401142.48
2025-12-03 02:22:58,0.0,8.95,401142.48
2025-12-03 02:22:59,0.0,8.95,401142.48
2025-12-03 02:23:00,0.0,8.92,401142.48
2025-12-03 02:23:01,0.0,8.92,401142.48
2025-12-03 02:23:02,0.0,8.97,401142.48
2025-12-03 02:23:03,0.0,8.97,401142.48
2025-12-03 02:23:04,0.0,8.97,401142.48
2025-12-03 02:23:05,0.0,8.98,401142.48
2025-12-03 02:23:06,0.0,8.98,401142.48
2025-12-03 02:23:07,0.0,8.98,401142.48
2025-12-03 02:23:08,0.0,8.98,401142.48
2025-12-03 02:23:09,0.0,8.98,401142.48
