Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Get Root/Dashboard,235,1,3,8.834187403083481,0.7903340738266706,133.2473331131041,123.47234042553191,4.110266162676696,0.017490494309262538,3,5,8,11,24,37,50,120,130,130,130
POST,Inference: Predict Risk,666,1,35,54.474030905571006,3.9489578921347857,1209.7375828307122,120.81531531531532,11.64866920996885,0.017490494309262538,36,51,64,72,110,140,200,360,1200,1200,1200
,Aggregated,901,2,27,42.57018715076016,0.7903340738266706,1209.7375828307122,121.50832408435072,15.758935372645546,0.034980988618525076,27,39,52,62,88,120,170,230,1200,1200,1200
