Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Get Root/Dashboard,140,0,420.0,11596.081379501682,1.4464589767158031,30451.815499924123,124.0,4.050023336157555,0.0,440,27000,28000,28000,29000,30000,30000,30000,30000,30000,30000
POST,Inference: Predict Risk,225,0,320.0,2334.943409513475,11.211375007405877,30534.927249886096,120.97777777777777,6.508966075967499,0.0,320,430,500,590,740,30000,30000,30000,31000,31000,31000
,Aggregated,365,0,350.0,5887.160713070595,1.4464589767158031,30534.927249886096,122.13698630136986,10.558989412125053,0.0,350,500,650,780,29000,30000,30000,30000,31000,31000,31000
