COD_CURSO,curso,creditos,FAMILIA,NIVEL_CURSO,TIPO,HORAS,PREREQUISITO,PREREQUISITO_COD
CB309,COMPUTACION MOLECULAR BIOLOGICA,4,CB,9,EP,6,"['MATEMATICA APLICADA A LA COMPUTACION', 'ANALISIS Y DISENO DE ALGORITMOS']","[MA307, CS212]"
CS292,INGENIERIA DE SOFTWARE II,4,CS,6,O,6,['INGENIERIA DE SOFTWARE I'],[CS291]
CS271,BASES DE DATOS I,4,CS,4,O,6,['ALGEBRA ABSTRACTA'],[CS1D3]
CB111,FISICA COMPUTACIONAL,4,CB,5,O,6,['CALCULO I'],[MA102]
CS392,TOPICOS AVANZADOS EN INGENIERIA DE SOFTWARE,4,CS,9,EP,6,['INGENIERIA DE SOFTWARE III'],[CS391]
CS3P2,CLOUD COMPUTING,3,CS,10,O,5,['BIG DATA'],[CS370]
CS381,TOPICOS EN INTELIGENCIA ARTIFICIAL,4,CS,9,EP,6,['INTELIGENCIA ARTIFICIAL'],[CS281]
CS361,TOPICOS EN COMPUTACION GRAFICA,4,CS,9,EP,6,['COMPUTACION GRAFICA'],[CS261]
CS3P1,COMPUTACION PARALELA Y DISTRIBUIDA,4,CS,8,O,6,"['REDES Y COMUNICACION', 'ANALISIS Y DISENO DE ALGORITMOS']","[CS331, CS212]"
CS331,REDES Y COMUNICACION,3,CS,7,O,5,"['SISTEMAS OPERATIVOS', '400 PTS. RANKING DE INGLES']","[CS251, 400IN]"
CS251,SISTEMAS OPERATIVOS,4,CS,6,O,6,['ARQUITECTURA DE COMPUTADORES'],[CS221]
CS291,INGENIERIA DE SOFTWARE I,4,CS,5,O,6,"['CIENCIA DE LA COMPUTACION II', 'BASES DE DATOS I']","[CS113, CS271]"
CS402,PROYECTO FINAL DE CARRERA I,3,CS,8,O,4,['METODOLOGIA DE LA INVESTIGACION EN COMPUTACION'],[ET101]
ID101,INGLES TECNICO PROFESIONAL,3,ID,10,O,4,[],[]
CS351,SEGURIDAD EN COMPUTACION,4,CS,8,O,6,['REDES Y COMUNICACION'],[CS331]
CS393,SISTEMAS DE INFORMACION,4,CS,10,EP,6,['INGENIERIA DE SOFTWARE II'],[CS292]
