Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Get Root/Dashboard,46,3,1500.0,2806.584697839318,22.01110008172691,15027.740800054744,115.91304347826087,0.8773464408278574,0.05721824614094722,1600,2600,3200,3700,8100,9700,15000,15000,15000,15000,15000
POST,Inference: Predict Risk,142,2,9900.0,10785.280557045988,808.0827998928726,29624.917500070296,119.29577464788733,2.7083303173381683,0.03814549742729815,9900,11000,12000,12000,16000,20000,28000,29000,30000,30000,30000
,Aggregated,188,5,9200.0,8833.046463835846,22.01110008172691,29624.917500070296,118.46808510638297,3.585676758166026,0.09536374356824537,9200,10000,11000,12000,14000,19000,25000,29000,30000,30000,30000
