timestamp,cpu_percent,memory_rss_mb,memory_vms_mb
2025-12-03 01:25:00,0.0,17.52,10.96
2025-12-03 01:25:01,0.0,17.57,10.96
2025-12-03 01:25:02,0.0,17.57,10.96
2025-12-03 01:25:03,0.0,17.57,10.96
2025-12-03 01:25:04,0.0,17.57,10.96
2025-12-03 01:25:05,0.0,17.57,10.96
2025-12-03 01:25:06,0.0,17.57,10.96
2025-12-03 01:25:07,0.0,17.57,10.96
2025-12-03 01:25:08,0.0,17.57,10.96
2025-12-03 01:25:09,0.0,17.57,10.96
2025-12-03 01:25:10,0.0,17.57,10.96
2025-12-03 01:25:11,0.0,17.57,10.96
2025-12-03 01:25:12,0.0,17.57,10.96
2025-12-03 01:25:13,0.0,17.57,10.96
2025-12-03 01:25:14,0.0,17.57,10.96
2025-12-03 01:25:15,0.0,17.57,10.96
2025-12-03 01:25:16,0.0,17.57,10.96
2025-12-03 01:25:17,0.0,17.57,10.96
2025-12-03 01:25:18,0.0,17.57,10.96
2025-12-03 01:25:19,0.0,17.57,10.96
2025-12-03 01:25:20,0.0,17.57,10.96
2025-12-03 01:25:21,0.0,17.57,10.96
2025-12-03 01:25:22,0.0,17.57,10.96
2025-12-03 01:25:23,0.0,17.57,10.96
2025-12-03 01:25:24,0.0,17.57,10.96
2025-12-03 01:25:25,0.0,17.57,10.96
2025-12-03 01:25:26,0.0,17.57,10.96
2025-12-03 01:25:27,0.0,17.6,11.02
2025-12-03 01:25:28,0.0,17.6,11.02
2025-12-03 01:25:29,0.0,17.6,11.02
2025-12-03 01:25:30,0.0,17.6,11.02
2025-12-03 01:25:31,0.0,17.6,11.02
2025-12-03 01:25:32,0.0,17.6,11.02
2025-12-03 01:25:33,0.0,17.6,11.02
2025-12-03 01:25:34,0.0,17.6,11.02
2025-12-03 01:25:35,0.0,17.6,11.02
2025-12-03 01:25:36,0.0,17.6,11.02
2025-12-03 01:25:37,0.0,17.6,11.02
2025-12-03 01:25:38,0.0,17.61,11.02
2025-12-03 01:25:39,0.0,17.61,11.02
2025-12-03 01:25:40,0.0,17.61,11.02
2025-12-03 01:25:41,0.0,17.61,11.02
2025-12-03 01:25:42,0.0,17.61,11.02
2025-12-03 01:25:43,0.0,17.61,11.02
2025-12-03 01:25:44,0.0,17.61,11.02
2025-12-03 01:25:45,0.0,17.61,11.02
2025-12-03 01:25:46,0.0,17.61,11.02
2025-12-03 01:25:47,0.0,17.61,11.02
2025-12-03 01:25:48,0.0,17.61,11.02
2025-12-03 01:25:49,0.0,17.61,11.02
2025-12-03 01:25:50,0.0,17.61,11.02
2025-12-03 01:25:51,0.0,17.61,11.02
2025-12-03 01:25:52,0.0,17.61,11.02
2025-12-03 01:25:53,0.0,17.61,11.02
2025-12-03 01:25:54,0.0,17.61,11.02
2025-12-03 01:25:55,0.0,17.61,11.02
2025-12-03 01:25:56,0.0,17.61,11.02
2025-12-03 01:25:57,0.0,17.55,10.92
2025-12-03 01:25:58,0.0,17.55,10.92
2025-12-03 01:25:59,0.0,17.55,10.92
2025-12-03 01:26:00,0.0,17.55,10.92
